สินค้า,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
#,รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,หมวดหมู่ย่อย,หน่วยสินค้า,Barcode
151,KR107-M,ผ้าเชิ้ต - ริ้วใหญ่ชมพู (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR107-M
152,KR106-XXL,ผ้าเชิ้ต - ริ้วใหญ่ฟ้า (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR106-XXL
153,KR106-XL,ผ้าเชิ้ต - ริ้วใหญ่ฟ้า (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR106-XL
154,KR106-L,ผ้าเชิ้ต - ริ้วใหญ่ฟ้า (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR106-L
155,KR106-M,ผ้าเชิ้ต - ริ้วใหญ่ฟ้า (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR106-M
156,KR105-XXL,ผ้าเชิ้ต - ริ้วใหญ่เขียว (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR105-XXL
157,KR105-XL,ผ้าเชิ้ต - ริ้วใหญ่เขียว (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR105-XL
158,KR105-L,ผ้าเชิ้ต - ริ้วใหญ่เขียว (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR105-L
159,KR105-M,ผ้าเชิ้ต - ริ้วใหญ่เขียว (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR105-M
160,KR104-XXL,ผ้าเชิ้ต - ริ้วใหญ่เทาดำ (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR104-XXL
161,KR104-XL,ผ้าเชิ้ต - ริ้วใหญ่เทาดำ (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR104-XL
162,KR104-L,ผ้าเชิ้ต - ริ้วใหญ่เทาดำ (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR104-L
163,KR104-M,ผ้าเชิ้ต - ริ้วใหญ่เทาดำ (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR104-M
164,KR103-XXL,ผ้าเชิ้ต - ฟ้าพาสเทล (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR103-XXL
165,KR103-XL,ผ้าเชิ้ต - ฟ้าพาสเทล (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR103-XL
166,KR103-L,ผ้าเชิ้ต - ฟ้าพาสเทล (New)(L),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR103-L
167,KR103-M,ผ้าเชิ้ต - ฟ้าพาสเทล (New)(M),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR103-M
168,KR102-XXL,ผ้าเชิ้ต - กรมท่า (New)(XXL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR102-XXL
169,KR102-XL,ผ้าเชิ้ต - กรมท่า (New)(XL),Boxer ทรงเกาหลี (ผ้าเชิ้ต),,ชิ้น,KR102-XL
